id,campaign_name,campaign_id,day,delivery_status,result_type,results,reach,frequency,cost_per_result,amount_spent_inr,impressions,cpm,link_clicks,cpc_link,ctr_link,clicks_all,ctr_all,cpc_all,in_app_purchases,registrations_completed,in_app_registrations,website_registrations,cost_per_registration_completed,purchases,purchases_conversion_value,in_app_purchases_conversion_value,cost_per_purchase,purchase_roas,app_installs,cost_per_app_install,app_activations,in_app_sessions,website_landing_page_views,instagram_follows
3140,Advantage+ KSA app campaign 01/08/2024 Campaign,120209414239730318,2026-02-28,active,In-app purchases,3.0,19723.0,1.23287532,911.0766667,2733.23,24316.0,112.4045896,225.0,12.14768889,0.92531666,230.0,0.94587926,11.8836087,3.0,170.0,170.0,,16.07782353,3.0,6680.11,6680.11,911.0766667,2.44403508,117.0,23.36094017,464.0,464.0,,0.0
3144,Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,120217652310390318,2026-02-28,active,In-app purchases,39.0,669930.0,1.38427597,996.2884615,38855.25,927368.0,41.89841573,3452.0,11.25586616,0.37223626,4514.0,0.48675391,8.60772043,39.0,1830.0,1830.0,,21.23237705,39.0,13934.0,13934.0,996.2884615,0.35861306,1551.0,25.05174081,3962.0,3962.0,8.0,43.0
3141,Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,120212196648420318,2026-02-28,active,In-app purchases,14.0,58226.0,1.32279394,415.685,5819.59,77021.0,75.55848405,411.0,14.15958637,0.5336207,515.0,0.66864881,11.30017476,14.0,234.0,234.0,,24.87004274,15.0,7718.0,5918.0,387.9726667,1.32621027,206.0,28.25043689,673.0,673.0,,3.0
3143,Advantage+ shopping campaign 02/03/2025 Campaign,120215731086760318,2026-02-28,active,,,24976.0,2.48170243,,1902.94,61983.0,30.70099866,293.0,6.49467577,0.47271026,856.0,1.38102383,2.22306075,37.0,44.0,41.0,3.0,43.24863636,37.0,38480.0,38480.0,51.43081081,20.22134171,21.0,90.61619048,22551.0,22551.0,60.0,0.0
3139,All-Lookalike-manual-registration 27-07-24,120209316450690318,2026-02-28,active,,,268755.0,1.35491061,,18133.73,364139.0,49.79892294,1469.0,12.34426821,0.40341738,1897.0,0.52095491,9.55916183,24.0,639.0,639.0,,28.37829421,24.0,9903.0,9903.0,755.5720833,0.54610938,571.0,31.75784588,1726.0,1726.0,2.0,13.0
3138,Bottom Funnel – Copy,23848934971910317,2026-02-28,active,actions:purchase,7.0,9739.0,1.67152685,58.99428571,412.96,16279.0,25.36765158,19.0,21.73473684,0.11671479,39.0,0.23957246,10.58871795,7.0,14.0,14.0,,29.49714286,7.0,5261.0,5261.0,58.99428571,12.73973266,2.0,206.48,4450.0,4450.0,4.0,0.0
3146,India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,120228467191530318,2026-02-28,active,In-app purchases,2.0,170591.0,1.23543446,5413.465,10826.93,210754.0,51.37235829,615.0,17.60476423,0.29180941,1747.0,0.82892851,6.19744133,2.0,260.0,260.0,,41.64203846,2.0,6108.74,6108.74,5413.465,0.56421719,295.0,36.70145763,5.0,5.0,3.0,8.0
3150,Middle Funnel 2(web visit),23848721350610317,2026-02-28,active,actions:complete_registration,4.0,3662.0,1.5737302,36.6675,146.67,5763.0,25.45028631,17.0,8.62764706,0.29498525,69.0,1.19729308,2.12565217,,4.0,3.0,1.0,36.6675,,,,,,2.0,73.335,147.0,147.0,10.0,0.0
3142,Middle Funnel Ad 3(fb-insta),23848721470940317,2026-02-28,active,actions:complete_registration,18.0,14050.0,1.26747331,18.34388889,330.19,17808.0,18.54166667,73.0,4.52315068,0.40992812,362.0,2.03279425,0.91212707,,18.0,13.0,5.0,18.34388889,,,,,,9.0,36.68777778,151.0,151.0,43.0,1.0
3137,NF App Conversions,23848933924920317,2026-02-28,active,In-app purchases,6.0,5285.0,1.69006623,171.4033333,1028.42,8932.0,115.1388267,305.0,3.37186885,3.41468876,383.0,4.28795343,2.68516971,6.0,19.0,19.0,,54.12736842,6.0,10826.0,10826.0,171.4033333,10.52682756,5.0,205.684,2925.0,2925.0,,1.0
3136,New App IOS KSA promotion campaign,120212785502620318,2026-02-28,active,,,13678.0,1.19710484,,3663.18,16374.0,223.7193111,196.0,18.68969388,1.19701967,226.0,1.38023696,16.20876106,,39.0,39.0,,93.92769231,,,,,,43.0,85.19023256,,,2.0,0.0
3149,New App promotion oman and bahrain Campaign 22 jan 2026,120237325237390318,2026-02-28,active,,,15917.0,1.51605202,,3020.66,24131.0,125.1775724,183.0,16.5063388,0.75836061,200.0,0.82880942,15.1033,,100.0,100.0,,30.2066,,,,,,78.0,38.72641026,210.0,210.0,1.0,0.0
3148,New Awareness campaign 24/10/25 –duplicate (07/11/25),120233503097150318,2026-02-28,active,,,529480.0,1.0,,1006.7,529480.0,1.90129939,101.0,9.96732673,0.01907532,367.0,0.06931329,2.74305177,,4.0,4.0,,251.675,,,,,,1.0,1006.7,26.0,26.0,18.0,2.0
3147,New qatar App promotion Campaign 23 sept 25,120231060494030318,2026-02-28,active,,,8945.0,1.34756847,,1958.58,12054.0,162.4838228,76.0,25.77078947,0.6304961,85.0,0.70516011,23.04211765,,37.0,37.0,,52.93459459,,,,,,32.0,61.205625,127.0,127.0,,0.0
3145,UAE App promotion Campaign 26 June 25,120225757421370318,2026-02-28,active,In-app purchases,1.0,7670.0,1.26949153,1869.68,1869.68,9737.0,192.0180754,83.0,22.52626506,0.85241861,94.0,0.96538975,19.89021277,1.0,62.0,62.0,,30.15612903,1.0,1559.0,1559.0,1869.68,0.83383253,50.0,37.3936,234.0,234.0,,0.0
3126,Advantage+ KSA app campaign 01/08/2024 Campaign,120209414239730318,2026-03-01,active,In-app purchases,2.0,17896.0,1.28263299,1139.72,2279.44,22954.0,99.30469635,211.0,10.80303318,0.91922976,225.0,0.98022131,10.13084444,2.0,176.0,175.0,1.0,12.95136364,2.0,2508.56,2508.56,1139.72,1.10051592,126.0,18.09079365,375.0,375.0,,0.0
3130,Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,120217652310390318,2026-03-01,active,In-app purchases,36.0,461306.0,1.33042709,783.5877778,28209.16,613734.0,45.96316971,1955.0,14.42923785,0.31854191,2839.0,0.46257825,9.93630151,36.0,1086.0,1083.0,3.0,25.97528545,36.0,13774.0,13774.0,783.5877778,0.48828111,889.0,31.73133858,3101.0,3101.0,2.0,21.0
3127,Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,120212196648420318,2026-03-01,active,In-app purchases,11.0,64658.0,1.3644406,575.7272727,6333.0,88222.0,71.78481558,375.0,16.888,0.42506404,549.0,0.62229376,11.53551913,11.0,281.0,280.0,1.0,22.53736655,11.0,2828.0,2828.0,575.7272727,0.44654982,206.0,30.74271845,682.0,682.0,1.0,7.0
3128,Advantage+ shopping campaign 02/03/2025 Campaign,120215731086760318,2026-03-01,active,,,29341.0,2.8756007,,2293.87,84373.0,27.18725185,304.0,7.545625,0.36030484,859.0,1.01809821,2.67039581,45.0,75.0,70.0,5.0,30.58493333,45.0,58388.0,58388.0,50.97488889,25.45392721,19.0,120.73,22104.0,22104.0,73.0,1.0
3125,All-Lookalike-manual-registration 27-07-24,120209316450690318,2026-03-01,active,,,206623.0,1.41316794,,14491.05,291993.0,49.62807328,954.0,15.18977987,0.32672016,1292.0,0.44247636,11.21598297,20.0,422.0,422.0,,34.33898104,20.0,6663.0,6663.0,724.5525,0.45980105,359.0,40.36504178,1578.0,1578.0,,9.0
3124,Bottom Funnel – Copy,23848934971910317,2026-03-01,active,actions:purchase,6.0,10066.0,1.74925492,70.49166667,422.95,17608.0,24.02033167,15.0,28.19666667,0.08518855,30.0,0.1703771,14.09833333,6.0,8.0,8.0,,52.86875,6.0,7826.0,7826.0,70.49166667,18.50336919,4.0,105.7375,3788.0,3788.0,2.0,0.0
3132,India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,120228467191530318,2026-03-01,active,In-app purchases,4.0,157010.0,1.2404815,2531.41,10125.64,194768.0,51.98821162,615.0,16.46445528,0.31576029,1650.0,0.84716175,6.13675152,4.0,282.0,282.0,,35.90652482,5.0,10465.38,9465.38,2025.128,1.03355245,339.0,29.86914454,12.0,12.0,2.0,10.0
3121,Middle Funnel 2(web visit),23848721350610317,2026-03-01,active,actions:complete_registration,5.0,4029.0,1.73169521,31.93,159.65,6977.0,22.88232765,18.0,8.86944444,0.25799054,76.0,1.08929339,2.10065789,,5.0,2.0,3.0,31.93,,,,,,1.0,159.65,102.0,102.0,10.0,0.0
3122,Middle Funnel Ad 3(fb-insta),23848721470940317,2026-03-01,active,actions:complete_registration,35.0,20736.0,1.36684992,10.43828571,365.34,28343.0,12.88995519,75.0,4.8712,0.2646156,393.0,1.38658575,0.92961832,,35.0,31.0,4.0,10.43828571,,,,,,7.0,52.19142857,100.0,100.0,47.0,1.0
3123,NF App Conversions,23848933924920317,2026-03-01,active,In-app purchases,6.0,5292.0,1.72732426,123.71,742.26,9141.0,81.20118149,400.0,1.85565,4.37588885,386.0,4.22273274,1.92295337,6.0,26.0,26.0,,28.54846154,6.0,2676.0,2676.0,123.71,3.60520572,1.0,742.26,2221.0,2221.0,,0.0
