Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result Type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),App Installs,Cost per App Install,App activiations,In-app sessions,Website landing page views,Instagram follows
New App promotion oman and bahrain Campaign 22 jan 2026,3/29/2026,active,campaign,7-day click,,,19997,1.58853828,,3113.39,31766,98.01013662,179,17.39324022,0.56349556,201,0.632752,15.48950249,,92,92,,33.84119565,,,,,,69,45.1215942,163,163,,0
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/29/2026,active,campaign,7-day click,In-app purchases,11,65416,1.33157026,562.7081818,6189.79,87106,71.06043212,468,13.22604701,0.53727642,599,0.6876679,10.33353923,11,207,206,1,29.90236715,11,14814,14814,562.7081818,2.39329606,216,28.65643519,567,567,1,1
Middle Funnel 2(web visit),3/29/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,11,2848,1.31811798,13.39090909,147.3,3754,39.23814598,23,6.40434783,0.61267981,38,1.0122536,3.87631579,,11,10,1,13.39090909,,,,,,1,147.3,67,67,13,0
Middle Funnel Ad 3(fb-insta),3/29/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,41,11707,1.23831895,9.10634146,373.36,14497,25.75429399,66,5.6569697,0.45526661,305,2.10388356,1.22413115,,41,36,5,9.10634146,,,,,,8,46.67,241,241,40,1
NF App Conversions,3/29/2026,active,campaign,7-day click or 1-day view,In-app purchases,6,4914,1.7022792,166.075,996.45,8365,119.1213389,322,3.09456522,3.84937238,376,4.49491931,2.65013298,6,34,34,,29.30735294,6,2818,2818,166.075,2.82803954,5,199.29,2445,2445,,1
Bottom Funnel – Copy,3/29/2026,active,campaign,7-day click or 1-day view,actions:purchase,4,7994,1.46022017,101.3625,405.45,11673,34.73400154,24,16.89375,0.20560267,198,1.69622205,2.04772727,4,16,16,,25.340625,4,4166,4166,101.3625,10.27500308,1,405.45,4004,4004,7,0
Advantage+ KSA app campaign 01/08/2024 Campaign,3/29/2026,active,campaign,7-day click,,,22021,1.38213523,,2506.43,30436,82.35083454,226,11.09039823,0.74254173,266,0.87396504,9.42266917,,155,155,,16.17051613,,,,,,113,22.18079646,341,341,,2
All-Lookalike-manual-registration 27-07-24,3/29/2026,active,campaign,7-day click,,,229016,1.43262479,,16528.78,328094,50.3781843,1350,12.24354074,0.41146745,1839,0.5605101,8.98791735,18,492,492,,33.5950813,18,11978,11978,918.2655556,0.72467538,495,33.39147475,1633,1633,4,11
New App IOS KSA promotion campaign,3/29/2026,active,campaign,Multiple attribution settings,In-app purchases,1,16459,1.23397533,3431.72,3431.72,20310,168.9670113,152,22.57710526,0.7483998,205,1.009355,16.74009756,1,19,19,,180.6168421,1,252.41,252.41,3431.72,0.07355204,31,110.7006452,,,5,1
Advantage+ shopping campaign 02/03/2025 Campaign,3/29/2026,active,campaign,Multiple attribution settings,,,23347,2.31927014,,2227.07,54148,41.12931226,265,8.40403774,0.48939942,1308,2.41560168,1.70265291,35,80,73,7,27.838375,35,29469,29469,63.63057143,13.23218399,18,123.7261111,19574,19574,95,1
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/29/2026,active,campaign,7-day click,In-app purchases,29,667499,1.3838208,1282.73,37199.17,923699,40.27196089,3514,10.58599032,0.38042696,4641,0.5024364,8.01533506,29,1647,1647,,22.586017,29,7976,7976,1282.73,0.21441339,1481,25.11760297,3305,3305,7,30
