Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),In-app purchase ROAS (return on ad spend),percentage app,App installs,Mobile app installs,Cost per app install,Reporting starts,Reporting ends
New App promotion oman and bahrain Campaign 22 jan 2026,4/8/2026,active,campaign,7-day click,,,20721,1.52733941,,2986.28,31648,94.35920121,137,21.79766423,0.43288675,154,0.48660263,19.39142857,,71,71,,42.06028169,,,,,,,40.1459854,55,55,54.296,4/8/2026,4/8/2026
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,4/8/2026,active,campaign,7-day click,In-app purchases,12,60321,1.4210474,553.9608333,6647.53,85719,77.5502514,573,11.601274,0.66846323,655,0.76412464,10.14890076,12,177,177,,37.55666667,12,17172,17172,553.9608333,2.58321512,2.58321512,31.58813264,181,181,36.72668508,4/8/2026,4/8/2026
Middle Funnel 2(web visit),4/8/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,5,2010,1.46766169,29.758,148.79,2950,50.43728814,18,8.26611111,0.61016949,28,0.94915254,5.31392857,,5,4,1,29.758,,,,,,,11.11111111,2,2,74.395,4/8/2026,4/8/2026
Middle Funnel Ad 3(fb-insta),4/8/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,44,14591,1.2213008,7.49022727,329.57,17820,18.49438833,91,3.62164835,0.51066218,457,2.56453423,0.72115974,1,44,37,7,7.49022727,1,268,268,329.57,0.81318081,0.81318081,13.18681319,12,12,27.46416667,4/8/2026,4/8/2026
NF App Conversions,4/8/2026,active,campaign,7-day click or 1-day view,In-app purchases,11,4960,1.74435484,87.48090909,962.29,8652,111.2216829,466,2.065,5.38603791,522,6.0332871,1.84346743,11,39,39,,24.67410256,11,13291,13291,87.48090909,13.81184466,13.81184466,1.07296137,5,5,192.458,4/8/2026,4/8/2026
Bottom Funnel – Copy,4/8/2026,active,campaign,7-day click or 1-day view,actions:purchase,9,8582,1.46364484,36.43777778,327.94,12561,26.10779397,39,8.40871795,0.31048483,357,2.8421304,0.91859944,9,11,11,,29.81272727,9,4052,4052,36.43777778,12.35591877,12.35591877,5.12820513,2,2,163.97,4/8/2026,4/8/2026
Advantage+ KSA app campaign 01/08/2024 Campaign,4/8/2026,active,campaign,7-day click,In-app purchases,2,23068,1.35178602,1239.755,2479.51,31183,79.51479973,178,13.92983146,0.57082385,212,0.67985761,11.69580189,2,116,116,,21.37508621,2,13101.43,13101.43,1239.755,5.28387867,5.28387867,48.87640449,87,87,28.50011494,4/8/2026,4/8/2026
All-Lookalike-manual-registration 27-07-24,4/8/2026,active,campaign,7-day click,,,263106,1.33808427,,15475.85,352058,43.95823984,1390,11.13370504,0.39482131,1862,0.52889013,8.31141246,15,508,508,,30.46427165,15,14589,14589,1031.723333,0.94269459,0.94269459,34.38848921,478,478,32.37625523,4/8/2026,4/8/2026
New App IOS KSA promotion campaign,4/8/2026,active,campaign,Multiple attribution settings,,,15957,1.2226609,,2852.07,19510,146.1850333,235,12.13646809,1.20451051,283,1.45053819,10.07798587,,24,24,,118.83625,,,,,,,12.76595745,30,30,95.069,4/8/2026,4/8/2026
Advantage+ shopping campaign 02/03/2025 Campaign,4/8/2026,active,campaign,Multiple attribution settings,,,32699,2.08116456,,1948.93,68052,28.63883501,375,5.19714667,0.5510492,2126,3.12408158,0.91671214,51,86,81,5,22.66197674,51,32626,32626,38.21431373,16.74046785,16.74046785,6.13333333,23,23,84.73608696,4/8/2026,4/8/2026
